ID, Name, Price
null,F2,1859.0
null,F2,1859.0
null,F2,1859.0
ID, Name, Price
null,F1,883.0
null,F1,883.0
null,F1,883.0
ID, Name, Price
null,F2,4009.0
null,F2,4009.0
null,F2,4009.0
ID, Name, Price
null,F1,4017.0
null,F1,4017.0
null,F1,4017.0
ID, Name, Price
null,F2,6731.0
null,F2,6731.0
null,F2,6731.0
ID, Name, Price
null,F2,1787.0
null,F2,1787.0
null,F2,1787.0
ID, Name, Price
null,F2,3491.0
null,F2,3491.0
null,F2,3491.0
ID, Name, Price
null,F2,6658.0
null,F2,6658.0
null,F2,6658.0
ID, Name, Price
null,F1,1894.0
null,F1,1894.0
null,F1,1894.0
ID, Name, Price
null,F2,2140.0
null,F2,2140.0
null,F2,2140.0
ID, Name, Price
null,F1,4765.0
null,F1,4765.0
null,F1,4765.0
ID, Name, Price
null,F2,5292.0
null,F2,5292.0
null,F2,5292.0
ID, Name, Price
null,F1,1114.0
null,F1,1114.0
null,F1,1114.0
ID, Name, Price
null,F1,2303.0
null,F1,2303.0
null,F1,2303.0
ID, Name, Price
null,F2,2622.0
null,F2,2622.0
null,F2,2622.0
ID, Name, Price
null,F1,7392.0
null,F1,7392.0
null,F1,7392.0
ID, Name, Price
null,F1,8097.0
null,F1,8097.0
null,F1,8097.0
ID, Name, Price
null,F1,6590.0
null,F1,6590.0
null,F1,6590.0
ID, Name, Price
null,F1,3660.0
null,F1,3660.0
null,F1,3660.0
ID, Name, Price
null,F2,136.0
null,F2,136.0
null,F2,136.0
ID, Name, Price
null,F2,1598.0
null,F2,1598.0
null,F2,1598.0
ID, Name, Price
null,F1,8278.0
null,F1,8278.0
null,F1,8278.0
ID, Name, Price
null,F2,6632.0
null,F2,6632.0
null,F2,6632.0
ID, Name, Price
null,F1,7148.0
null,F1,7148.0
null,F1,7148.0
ID, Name, Price
null,F2,529.0
null,F2,529.0
null,F2,529.0
ID, Name, Price
null,F1,3645.0
null,F1,3645.0
null,F1,3645.0
ID, Name, Price
null,F1,1766.0
null,F1,1766.0
null,F1,1766.0
ID, Name, Price
null,F1,5925.0
null,F1,5925.0
null,F1,5925.0
ID, Name, Price
null,F2,6442.0
null,F2,6442.0
null,F2,6442.0
ID, Name, Price
null,F1,8826.0
null,F1,8826.0
null,F1,8826.0
ID, Name, Price
null,F1,732.0
null,F1,732.0
null,F1,732.0
ID, Name, Price
null,F1,957.0
null,F1,957.0
null,F1,957.0
ID, Name, Price
null,F1,5165.0
null,F1,5165.0
null,F1,5165.0
ID, Name, Price
null,F1,8314.0
null,F1,8314.0
null,F1,8314.0
ID, Name, Price
null,F1,2038.0
null,F1,2038.0
null,F1,2038.0
ID, Name, Price
null,F1,5908.0
null,F1,5908.0
null,F1,5908.0
ID, Name, Price
null,F1,3454.0
null,F1,3454.0
